"","station","station_id","line_name","entry_exits_period","mean_hourly_entries","mean_hourly_exits"
"372","215 ST","107","1","4:8",19.575,7.25
"373","215 ST","107","1","8:12",109.475,34.025
"374","219 ST","207","25","0:4",76.375,67.65
"375","219 ST","207","25","12:16",150.2,62.825
"376","219 ST","207","25","16:20",119.375,115
"377","219 ST","207","25","4:8",238.975,30.8
"378","219 ST","207","25","8:12",191.725,37.7
"379","22 AVE-BAY PKY","F32","F","0:4",21.375,13.8
"380","22 AVE-BAY PKY","F32","F","12:16",64.825,25.225
"381","22 AVE-BAY PKY","F32","F","16:20",60.25,33.625
"382","22 AVE-BAY PKY","F32","F","4:8",77.85,20.075
"383","22 AVE-BAY PKY","F32","F","8:12",92.025,29.15
"384","225 ST","206","25","0:4",84.725,86.1
"385","225 ST","206","25","12:16",222.05,79.925
"386","225 ST","206","25","16:20",155.675,154.675
"387","225 ST","206","25","4:8",290.725,29.85
"388","225 ST","206","25","8:12",236.825,46.275
"389","23 ST","130","1","0:4",554.525,293.075
"390","23 ST","130","1","12:16",773.075,645.675
"391","23 ST","130","1","16:20",1198.325,772.675
"392","23 ST","130","1","4:8",104.175,226.5
"393","23 ST","130","1","8:12",529.8,789.375
"394","23 ST","634","6","0:4",689.975,325.375
"395","23 ST","634","6","12:16",1279.55,951.975
"396","23 ST","634","6","16:20",2167.975,1067.7
"397","23 ST","634","6","4:8",227.5,476.575
"398","23 ST","634","6","8:12",1013.425,1512.025
"399","23 ST","A30","ACE","0:4",222.05,102.375
"400","23 ST","A30","ACE","12:16",960.025,749.925
"401","23 ST","A30","ACE","16:20",1997.65,1023.375
"402","23 ST","A30","ACE","20:0",1142,580.25
"403","23 ST","A30","ACE","4:8",87.225,159.85
"404","23 ST","A30","ACE","8:12",936.2,1075.675
"405","23 ST-5 AVE","R19","NQR","0:4",157.525,37.35
"406","23 ST-5 AVE","R19","NQR","12:16",945.175,558.475
"407","23 ST-5 AVE","R19","NQR","16:20",2226.975,597.575
"408","23 ST-5 AVE","R19","NQR","20:0",953.725,216.875
"409","23 ST-5 AVE","R19","NQR","4:8",44.05,130.6
"410","23 ST-5 AVE","R19","NQR","8:12",524.575,1107.625
"411","23 ST-6 AVE","D18","FM","0:4",179.675,72.1
"412","23 ST-6 AVE","D18","FM","12:16",986.35,1118.275
"413","23 ST-6 AVE","D18","FM","16:20",2314.3,1363.95
"414","23 ST-6 AVE","D18","FM","20:0",1140.3,522.95
"415","23 ST-6 AVE","D18","FM","4:8",62.5,203.1
"416","23 ST-6 AVE","D18","FM","8:12",880.975,1790.7
"417","231 ST","104","1","0:4",42,10.95
"418","231 ST","104","1","12:16",407.5,27.45
"419","231 ST","104","1","16:20",490.7,68.175
"420","231 ST","104","1","20:0",209.175,35.05
"421","231 ST","104","1","4:8",210.325,6.175
"422","231 ST","104","1","8:12",721.85,23.6
"423","233 ST","205","25","0:4",111.975,67.55
"424","233 ST","205","25","12:16",262.2,84.275
"425","233 ST","205","25","16:20",217.1,141.275
"426","233 ST","205","25","4:8",348.575,26.45
"427","233 ST","205","25","8:12",294.525,56.675
"428","238 ST","103","1","0:4",68.45,4.85
"429","238 ST","103","1","12:16",155.5,5.875
"430","238 ST","103","1","16:20",131.675,4.775
"431","238 ST","103","1","4:8",242.575,2.175
"432","238 ST","103","1","8:12",253.775,4
"433","242 ST","101","1","0:4",23.5,48.425
"434","242 ST","101","1","12:16",248.4,93.275
"435","242 ST","101","1","16:20",286.9,243.875
"436","242 ST","101","1","20:0",111.425,150.5
"437","242 ST","101","1","4:8",202.7,32.475
"438","242 ST","101","1","8:12",557.725,67.7
"439","25 AVE","B22","D","0:4",57.125,61.4
"440","25 AVE","B22","D","12:16",187.825,67.525
"441","25 AVE","B22","D","16:20",150,124.825
"442","25 AVE","B22","D","4:8",291.45,15.35
"443","25 AVE","B22","D","8:12",336.8,34.175
"444","25 ST","R35","DNR","0:4",24.775,63.325
"445","25 ST","R35","DNR","12:16",161.7,108.275
"446","25 ST","R35","DNR","16:20",231.775,229.275
"447","25 ST","R35","DNR","20:0",99.4,167.825
"448","25 ST","R35","DNR","4:8",55.075,46.275
"449","25 ST","R35","DNR","8:12",292.15,162.55
"450","28 ST","129","1","0:4",424.65,186.525
"451","28 ST","129","1","12:16",739.8,456.2
"452","28 ST","129","1","16:20",1255.825,429.7
"453","28 ST","129","1","4:8",82.375,169.55
"454","28 ST","129","1","8:12",476.575,751.3
"455","28 ST","633","6","0:4",764.75,487.1
"456","28 ST","633","6","12:16",1095.4,966.525
"457","28 ST","633","6","16:20",1978.825,1155.65
"458","28 ST","633","6","4:8",219.7,587.7
"459","28 ST","633","6","8:12",911.55,1888.95
"460","28 ST-BROADWAY","R18","NQR","0:4",106.05,64.05
"461","28 ST-BROADWAY","R18","NQR","12:16",557.275,679.025
"462","28 ST-BROADWAY","R18","NQR","16:20",1195.575,779.675
"463","28 ST-BROADWAY","R18","NQR","20:0",509.4,321.35
"464","28 ST-BROADWAY","R18","NQR","4:8",27.15,122.6
"465","28 ST-BROADWAY","R18","NQR","8:12",323.025,1101.475
"466","3 AVE","L05","L","0:4",173.15,86.1
