"","station","station_id","entry_exits_period","hourly_entries","hourly_exits"
"392","23 ST","634","8:12",10134.25,15120.25
"393","23 ST","A30","0:4",2220.5,1023.75
"394","23 ST","A30","12:16",9600.25,7499.25
"395","23 ST","A30","16:20",19976.5,10233.75
"396","23 ST","A30","20:0",11420,5802.5
"397","23 ST","A30","4:8",872.25,1598.5
"398","23 ST","A30","8:12",9362,10756.75
"399","23 ST-5 AVE","R19","0:4",1575.25,373.5
"400","23 ST-5 AVE","R19","12:16",9451.75,5584.75
"401","23 ST-5 AVE","R19","16:20",22269.75,5975.75
"402","23 ST-5 AVE","R19","20:0",9537.25,2168.75
"403","23 ST-5 AVE","R19","4:8",440.5,1306
"404","23 ST-5 AVE","R19","8:12",5245.75,11076.25
"405","23 ST-6 AVE","D18","0:4",1796.75,721
"406","23 ST-6 AVE","D18","12:16",9863.5,11182.75
"407","23 ST-6 AVE","D18","16:20",23143,13639.5
"408","23 ST-6 AVE","D18","20:0",11403,5229.5
"409","23 ST-6 AVE","D18","4:8",625,2031
"410","23 ST-6 AVE","D18","8:12",8809.75,17907
"411","231 ST","104","0:4",420,109.5
"412","231 ST","104","12:16",4075,274.5
"413","231 ST","104","16:20",4907,681.75
"414","231 ST","104","20:0",2091.75,350.5
"415","231 ST","104","4:8",2103.25,61.75
"416","231 ST","104","8:12",7218.5,236
"417","233 ST","205","0:4",1119.75,675.5
"418","233 ST","205","12:16",2622,842.75
"419","233 ST","205","16:20",2171,1412.75
"420","233 ST","205","4:8",3485.75,264.5
"421","233 ST","205","8:12",2945.25,566.75
"422","238 ST","103","0:4",684.5,48.5
"423","238 ST","103","12:16",1555,58.75
"424","238 ST","103","16:20",1316.75,47.75
"425","238 ST","103","4:8",2425.75,21.75
"426","238 ST","103","8:12",2537.75,40
"427","242 ST","101","0:4",235,484.25
"428","242 ST","101","12:16",2484,932.75
"429","242 ST","101","16:20",2869,2438.75
"430","242 ST","101","20:0",1114.25,1505
"431","242 ST","101","4:8",2027,324.75
"432","242 ST","101","8:12",5577.25,677
"433","25 AVE","B22","0:4",571.25,614
"434","25 AVE","B22","12:16",1878.25,675.25
"435","25 AVE","B22","16:20",1500,1248.25
"436","25 AVE","B22","4:8",2914.5,153.5
"437","25 AVE","B22","8:12",3368,341.75
"438","25 ST","R35","0:4",247.75,633.25
"439","25 ST","R35","12:16",1617,1082.75
"440","25 ST","R35","16:20",2317.75,2292.75
