"","Train","FromStopID","FromStation","FromLine","ToStopID","ToStation","ToLine","TravelTime"
"274","2","206","""225 St""","25","207","""219 St""","25",60
"275","2","207","""219 St""","25","208","""Gun Hill Rd""","25",90
"276","2","208","""Gun Hill Rd""","25","209","""Burke Av""","25",120
"277","2","209","""Burke Av""","25","210","""Allerton Av""","25",90
"278","2","210","""Allerton Av""","25","211","""Pelham Pkwy""","25",120
"279","2","211","""Pelham Pkwy""","25","212","""Bronx Park East""","25",120
"280","2","212","""Bronx Park East""","25","213","""E 180 St""","25",120
"281","2","213","""E 180 St""","25","214","""West Farms Sq - E Tremont Av""","2",90
"282","2","214","""West Farms Sq - E Tremont Av""","2","215","""174 St""","2",120
"283","2","215","""174 St""","2","216","""Freeman St""","2",150
"284","2","216","""Freeman St""","2","217","""Simpson St""","2",90
"285","2","217","""Simpson St""","2","218","""Intervale Av""","2",90
"286","2","218","""Intervale Av""","2","219","""Prospect Av""","2",90
"287","2","219","""Prospect Av""","2","220","""Jackson Av""","2",90
"288","2","220","""Jackson Av""","2","221","""3 Av - 149 St""","25",150
"289","2","221","""3 Av - 149 St""","25","222","""149 St - Grand Concourse""","25",120
"290","2","222","""149 St - Grand Concourse""","25","224","""135 St""","23",210
"291","2","224","""135 St""","23","225","""125 St""","23",90
"292","2","225","""125 St""","23","226","""116 St""","23",90
"293","2","226","""116 St""","23","227","""Central Park North (110 St)""","23",60
"294","2","227","""Central Park North (110 St)""","23","120","""96 St""","123",270
"295","2","120","""96 St""","123","123","""72 St""","123",150
"296","2","123","""72 St""","123","127","""Times Sq - 42 St""","123",240
"297","2","127","""Times Sq - 42 St""","123","128","""34 St - Penn Station""","123",60
"298","2","128","""34 St - Penn Station""","123","132","""14 St""","123",180
"299","2","132","""14 St""","123","137","""Chambers St""","123",270
"300","2","137","""Chambers St""","123","228","""Park Pl""","23",90
"301","2","228","""Park Pl""","23","229","""Fulton St""","23",120
"302","2","229","""Fulton St""","23","230","""Wall St""","23",90
"303","2","230","""Wall St""","23","231","""Clark St""","23",270
"304","2","231","""Clark St""","23","232","""Borough Hall""","23",60
"305","2","232","""Borough Hall""","23","233","""Hoyt St""","23",90
"306","2","233","""Hoyt St""","23","234","""Nevins St""","2345",60
"307","2","234","""Nevins St""","2345","235","""Atlantic Av - Barclays Ctr""","2345",90
"308","2","235","""Atlantic Av - Barclays Ctr""","2345","236","""Bergen St""","234",60
"309","2","236","""Bergen St""","234","237","""Grand Army Plaza""","234",120
"310","2","237","""Grand Army Plaza""","234","238","""Eastern Pkwy - Brooklyn Museum""","234",120
"311","2","238","""Eastern Pkwy - Brooklyn Museum""","234","239","""Franklin Av""","2345",90
"312","2","239","""Franklin Av""","2345","241","""President St""","2",180
"313","2","241","""President St""","2","242","""Sterling St""","25",90
"314","2","242","""Sterling St""","25","243","""Winthrop St""","25",90
"315","2","243","""Winthrop St""","25","244","""Church Av""","25",90
"316","2","244","""Church Av""","25","245","""Beverly Rd""","25",90
"317","2","245","""Beverly Rd""","25","246","""Newkirk Av""","25",90
"318","2","246","""Newkirk Av""","25","247","""Flatbush Av - Brooklyn College""","25",120
"319","2","247","""Flatbush Av - Brooklyn College""","25","201","""Wakefield - 241 St""","2",120
"320","2","201","""Wakefield - 241 St""","2","205","""233 St""","25",90
"321","2","205","""233 St""","25","204","""Nereid Av""","25",90
"322","2","204","""Nereid Av""","25","201","""Wakefield - 241 St""","2",120
"323","2","201","""Wakefield - 241 St""","2","238","""Eastern Pkwy - Brooklyn Museum""","234",120
"324","2","238","""Eastern Pkwy - Brooklyn Museum""","234","239","""Franklin Av""","2345",90
"325","2","239","""Franklin Av""","2345","241","""President St""","2",150
"326","2","241","""President St""","2","242","""Sterling St""","25",90
"327","2","242","""Sterling St""","25","243","""Winthrop St""","25",90
"328","2","243","""Winthrop St""","25","244","""Church Av""","25",570
"329","2","244","""Church Av""","25","245","""Beverly Rd""","25",570
"330","2","245","""Beverly Rd""","25","246","""Newkirk Av""","25",90
"331","2","246","""Newkirk Av""","25","247","""Flatbush Av - Brooklyn College""","25",120
"333","E","G05","""Jamaica Center - Parsons/Archer""","EJZ","G06","""Sutphin Blvd - Archer Av - JFK Airport""","EJZ",90
"334","E","G06","""Sutphin Blvd - Archer Av - JFK Airport""","EJZ","G07","""Jamaica - Van Wyck""","E",150
"335","E","G07","""Jamaica - Van Wyck""","E","F05","""Briarwood - Van Wyck Blvd""","EF",90
"336","E","F05","""Briarwood - Van Wyck Blvd""","EF","F06","""Kew Gardens - Union Tpke""","EF",90
"337","E","F06","""Kew Gardens - Union Tpke""","EF","F07","""75 Av""","EF",90
