"174-175 sts" [1, '"174-175 st"']
"bay pkwy" [3, '"bay parkway"']
"broadway jct" [4, '"broadway"']
"world trade center" [3, '"world trade ctr"']
"beach 36 st" [2, '"beach 25 st"']
"bay 50 st" [4, '"50 st"']
"9 st" [1, '"59 st"']
"bergen st" [5, '"bay 50 st"']
"65 st" [1, '"25 st"']
"harlem - 148 st" [8, '"e 143 st"']
"forest hills - 71 av" [5, '"forest hills-71"']
"broad st" [4, '"bergen st"']
"5 av/53 st" [2, '"5 ave-53 st"']
"elmhurst av" [1, '"elmhurst ave"']
"whitehall st" [5, '"wall st"']
"grasmere" [5, '"graham ave"']
"8 av" [1, '"8 ave"']
"mosholu pkwy" [3, '"mosholu parkway"']
"richmond valley" [9, '"jackson ave"']
"66 st - lincoln center" [9, '"66 st-lincoln"']
"astoria blvd" [5, '"sutphin blvd"']
"75 av" [1, '"75 ave"']
"45 st" [1, '"145 st"']
"dekalb av" [1, '"dekalb ave"']
"montrose av" [1, '"montrose ave"']
"morrison av- sound view" [11, '"morrison ave"']
"franklin st" [3, '"franklin ave"']
"aqueduct racetrack" [4, '"aqueduct track"']
"clark st" [4, '"canal st"']
"atlantic" [4, '"atlantic ave"']
"houston st" [3, '"fulton st"']
"junction blvd" [7, '"jackson ave"']
"49 st" [1, '"45 st"']
"mt eden av" [1, '"mt eden ave"']
"myrtle - willoughby avs" [13, '"castle hill ave"']
"sutphin blvd - archer av - jfk airport" [29, '"howard bch-jfk"']
"borough hall" [9, '"bay ridge ave"']
"morris park" [6, '"morgan ave"']
"77 st" [2, '"14 st"']
"157 st" [2, '"103 st"']
"avenue u" [4, '"ave h"']
"3 av" [2, '"1 ave"']
"182-183 sts" [5, '"121 st"']
"van siclen av" [7, '"bay ridge ave"']
"cleveland st" [7, '"5 ave-53 st"']
"fordham rd" [7, '"boyd-88 st"']
"181 st" [2, '"103 st"']
"55 st" [2, '"125 st"']
"clinton - washington avs" [15, '"classon ave"']
"neptune av" [6, '"central ave"']
"kingston av" [6, '"allerton ave"']
"elder av" [5, '"dyre ave"']
"eastchester - dyre av" [14, '"68st-hunter col"']
"15 st - prospect park" [14, '"103 st-corona"']
"beach 105 st" [7, '"103 st"']
"longwood av" [6, '"kingston ave"']
"74 st - broadway" [4, '"28 st-broadway"']
"69 st" [2, '"14 st"']
"knickerbocker av" [10, '"baychester ave"']
"intervale av" [6, '"central ave"']
"avenue n" [4, '"ave h"']
"ralph av" [5, '"gates ave"']
"halsey st" [5, '"bay 50 st"']
"23 st" [2, '"103 st"']
"greenpoint av" [7, '"franklin ave"']
"46 st" [2, '"116 st"']
