"","station","is_night","mean_entries","mean_exits"
"446","NEVINS ST",1,2479.21428571429,2205.14285714286
"447","NEW LOTS AVE",0,4854.5,3325
"448","NEW LOTS AVE",1,2122.85714285714,3891.66666666667
"449","NEW UTRECHT AVE",0,1938.9375,1323.1875
"450","NEW UTRECHT AVE",1,875.28901734104,1780.75144508671
"451","NEWKIRK AVE",0,180.092636667921,1289.47504328442
"452","NEWKIRK AVE",1,78.4748677248677,2094.09259259259
"453","NEWKIRK PLAZA",0,6619.8,3693.3
"454","NEWKIRK PLAZA",1,1878.57142857143,5162.85714285714
"455","NORWOOD AVE",0,3852.5,2016.25
"456","NORWOOD AVE",1,1238.80952380952,2930.47619047619
"457","NORWOOD-205 ST",0,2496.1875,1786.125
"458","NORWOOD-205 ST",1,878.839285714286,2645.71428571429
"459","NOSTRAND AVE",0,4599,3800.67857142857
"460","NOSTRAND AVE",1,3238.16326530612,7220.81632653061
"461","OCEAN PARKWAY",0,618.642857142857,635.464285714286
"462","OCEAN PARKWAY",1,642.123287671233,1265.85616438356
"463","ORCHARD BEACH",0,10.5,180.6
"464","ORCHARD BEACH",1,2.14285714285714,10.2857142857143
"465","PARK PLACE",0,587.4375,2153.25
"466","PARK PLACE",1,2382.5,1378.39285714286
"467","PARSONS BLVD",0,1290.54545454545,595.5
"468","PARSONS BLVD",1,791.298701298701,1765.25974025974
"469","PELHAM BAY PARK",0,1367.7852645322,1158.84335524423
"470","PELHAM BAY PARK",1,1131.66666666667,2230.31746031746
"471","PELHAM PARKWAY",0,1213.83333333333,2211.75
"472","PELHAM PARKWAY",1,641.005434782609,2154.21195652174
"473","QUEENS PLAZA",0,727.34375,1077.5625
"474","QUEENS PLAZA",1,818.571428571429,522.916666666667
"475","RECTOR ST",0,1386,2484.75
"476","RECTOR ST",1,2347.31588493433,2684.73143436494
"477","ROCKAWAY BLVD",0,460.78125,453.46875
"478","ROCKAWAY BLVD",1,233.125,325.178571428571
"479","ROCKAWAY PKY",0,1243,2551.41666666667
"480","ROCKAWAY PKY",1,463.44414893617,3314.60106382979
"481","ROOSEVELT AVE",0,1361.34537528765,884.368205194744
"482","ROOSEVELT AVE",1,728.35093441448,1511.42859039163
"483","ROOSEVELT IS",0,2398.15789473684,1357.36842105263
"484","ROOSEVELT IS",1,1492.38095238095,2483.92857142857
"485","SENECA AVE",0,2052.97537878788,954.659090909091
"486","SENECA AVE",1,498.484538002981,1597.99180327869
"487","SHEEPSHEAD BAY",0,4255.41666666667,2583.75
"488","SHEEPSHEAD BAY",1,1438.08510638298,3565.25265957447
"489","SMITH-9 ST",0,1524.875,1432.125
"490","SMITH-9 ST",1,2449.7619047619,2026.54761904762
"491","SPRING ST",0,3024.20625,819.99375
"492","SPRING ST",1,4623.65046346549,609.186859695606
"493","ST LAWRENCE AVE",0,1851.375,665.375
"494","ST LAWRENCE AVE",1,974.761904761905,2283.80952380952
"495","STERLING ST",0,3079.75,2047
"496","STERLING ST",1,1846.90476190476,5744.04761904762
"497","STILLWELL AVE",0,2551.9125,3207.75
"498","STILLWELL AVE",1,1265.60714285714,1378.96428571429
"499","SUTPHIN BLVD",0,798.354271356784,819.007537688442
"500","SUTPHIN BLVD",1,304.785714285714,1114.85714285714
"501","SUTTER AVE",0,5847.375,4446
"502","SUTTER AVE",1,2332.85714285714,5042.14285714286
"503","TREMONT AVE",0,2039.25,1822
"504","TREMONT AVE",1,815.952380952381,2722.93650793651
"505","UNION TPK-KEW G",0,3695.8125,1831.0125
"506","UNION TPK-KEW G",1,1738,3531.5
"507","UTICA AVE",0,2988.46153846154,2447.13461538462
"508","UTICA AVE",1,1019.72527472527,2711.59340659341
"509","VAN ALSTON-21ST",0,1179.75,1665.5
