"","station","station_id","daily_entries","daily_exits"
"225","CHRISTOPHER ST","133",595.641571190756,579.364272424599
"226","CHURCH AVE","244",442.024769784417,114.356543018771
"227","CHURCH AVE","D28",764.014886407026,815.737406012277
"228","CHURCH AVE","F27",447.366205199765,327.791584043282
"229","CITY HALL","R24",259.484657238523,133.659027961348
"230","CLARK ST","231",266.864224142621,164.012878843517
"231","CLASSON AVE","G34",214.732472826087,221.051190388758
"232","CLEVELAND ST","J22",155.64009108732,163.342742752665
"233","CLINTON-WASH AV","A44",275.364384272227,195.170640653922
"234","CLINTON-WASH AV","G35",243.307573763144,36.8474785508753
"235","CORTELYOU ROAD","D30",264.725309865774,88.1900879666344
"236","CORTLANDT ST","R25",403.804928573002,272.553310864393
"237","COURT SQ-23 ST","719",978.415619181396,610.733495230451
"238","CRESCENT ST","J20",222.242535311695,255.552977401884
"239","CROWN HTS-UTICA","250",1229.49018372993,959.549321876224
"240","CYPRESS AVE","617",176.645614853504,116.783259536333
"241","CYPRESS HILLS","J19",62.6738277234411,41.5786438599583
"242","DEKALB AVE","L16",526.299401562546,178.903339501278
"243","DEKALB AVE","R30",793.660283252695,407.994350774359
"244","DELANCEY ST","F15",701.691340152101,599.894736394341
"245","DITMARS BL-31 S","R01",737.399851889933,730.625233181551
"246","DITMAS AVE","F29",198.056171660791,151.334217380005
"247","DYCKMAN ST","109",314.475897228751,166.785373824912
"248","DYCKMAN-200 ST","A03",299.817477861486,7.85620208828972
"249","DYRE AVE","501",214.212333469881,220.61985355219
"250","E 143 ST","616",43.5146238211456,47.2867140656543
"251","E 149 ST","615",202.208038431408,189.09634460966
"252","E 177 ST-PARKCH","608",712.838509276417,813.179954860797
"253","E 180 ST","213",337.7241776588,292.82498003382
"254","E TREMONT AVE","214",362.535559880533,287.742398836964
"255","EAST 105 ST","L28",178.528543539078,173.245383128469
"256","EAST BROADWAY","F16",625.9356874027,320.995237865896
"257","EASTERN PKWY","238",213.000634026695,218.117958387563
"258","ELDER AVE","611",285.449382042996,292.258930010696
"259","ELDERTS LANE","J17",165.195482005521,116.469460128722
"260","ELMHURST AVE","G13",584.706374801383,158.189041571794
"261","ESSEX ST","M18",437.043636088637,278.954876777462
"262","EUCLID AVE","A55",415.948043720412,117.336891998515
