"","station","station_id","daily_entries","daily_exits"
"330","LONGWOOD AVE","614",133.186036036036,112.635135135135
"331","LORIMER ST","L10",251.730941052075,50.0018724116662
"332","LORIMER ST","M13",188.100854700855,75.8529914529914
"333","MAIN ST","701",2831.76261261261,1459.8009009009
"334","MARBLE HILL-225","106",253.211261261261,35.7981981981982
"335","MARCY AVE","M16",448.776068376068,290.594444444444
"336","METROPOLITAN AV","G29",347.692342342342,160.342342342342
"337","METROPOLITAN AV","M01",202.29358974359,101.941025641026
"338","METS-WILLETS PT","702",133.187837837838,74.8905405405405
"339","MIDDLETOWN ROAD","603",191.395719489982,81.3005464480874
"340","MONTROSE AVE","L13",310.626495726496,140.303846153846
"341","MORGAN AVE","L14",288.671367521368,107.425641025641
"342","MORRIS PARK","505",120.675089816744,44.960291942155
"343","MORRISON AVE","610",354.787837837838,167.563513513514
"344","MOSHOLU PARKWAY","402",328.589189189189,94.4837837837838
"345","MT EDEN AVE","411",270.700116264697,145.218135553586
"346","MYRTLE AVE","L17",968.129914529914,350.905128205128
"347","MYRTLE AVE","M11",467.109401709402,211.426068376068
"348","MYRTLE-WILLOUGH","G32",236.027927927928,93.827027027027
"349","NASSAU AV","G28",417.22017724246,128.58356835096
"350","NECK ROAD","D38",243.918376068376,20.4555555555556
"351","NEPTUNE AVE","F39",68.6996229925578,18.6151855660008
"352","NEREID AVE","204",177.943164529352,36.9341795175359
"353","NEVINS ST","234",307.113513513514,414.497297297297
"354","NEW LOTS AVE","257",368.342792792793,134.818918918919
"355","NEW LOTS AVE","L27",250.164102564103,137.00811965812
"356","NEW UTRECHT AVE","B16",214.081727464975,153.892195347608
"357","NEW UTRECHT AVE","N04",0,0
"358","NEWKIRK AVE","246",401.307657657658,125.568018018018
"359","NEWKIRK PLAZA","D31",478.466666666667,242.647008547009
"360","NORTHERN BLVD","G16",318.525877192982,159.789473684211
"361","NORWOOD AVE","J21",169.175330425588,95.9488853643493
"362","NORWOOD-205 ST","D01",416.686403508772,183.92850877193
"363","NOSTRAND AVE","248",187.524774774775,148.927027027027
"364","NOSTRAND AVE","A46",795.128070175439,392.388157894737
"365","OCEAN PARKWAY","D41",133.91600891323,54.3477457402635
"366","PARK PLACE","228",59.0684684684685,182.281081081081
"367","PARK PLACE","S03",75.6217948717949,69.3653846153846
"368","PARKSIDE AVE","D27",239.608676975945,117.916860516345
"369","PARSONS BLVD","F03",312.481981981982,213.561711711712
"370","PELHAM BAY PARK","601",415.735960144928,119.682065217391
"371","PELHAM PARKWAY","211",525.286036036036,173.636936936937
"372","PELHAM PARKWAY","504",525.286036036036,173.636936936937
"373","PENNSYLVANIA AV","255",310.091441441441,48.7306306306306
"374","PRESIDENT ST","241",187.459009009009,139.351351351351
"375","PRINCE ST-B'WAY","R22",265.246581196581,507.36282051282
"376","PROSPECT AVE","219",296.29954954955,58.381981981982
"377","PROSPECT AVE","R34",275.861965811966,170.062820512821
"378","PROSPECT PARK","D26",489.478632478633,246.603846153846
"379","QUEENS PLAZA","G21",202.94649122807,415.426315789474
"380","QUEENSBORO PLZ","718",338.153603603604,183.850900900901
"381","RALPH AVE","A49",250.31798245614,85.6035087719298
"382","RECTOR ST","139",295.373913043478,362.944481981982
"383","RECTOR ST","R26",125.598717948718,133.648290598291
"384","ROCKAWAY AVE","253",272.466400033329,135.686768320627
"385","ROCKAWAY AVE","A50",239.002192982456,95.7561403508772
"386","ROCKAWAY BLVD","A61",365.334649122807,57.1004385964912
"387","ROCKAWAY PK 116","H15",30.4070175438597,24.2627192982456
"388","ROCKAWAY PKY","L29",651.273532910389,95.9363754515816
"389","ROOSEVELT AVE","710",2414.70614035088,1108.95394736842
"390","ROOSEVELT AVE","G14",0,0
"391","ROOSEVELT IS","B06",268.242394785824,161.30567154846
"392","SARATOGA AVE","252",383.392342342342,79.3558558558559
"393","SENECA AVE","M06",131.509710106617,60.6872433694599
"394","SHEEPSHEAD BAY","D39",646.226923076923,301.89188034188
"395","SHEPHERD AVE","A54",163.50136916365,56.389522417154
"396","SIMPSON ST","217",364.886486486486,38.3554054054054
"397","SMITH-9 ST","F22",189.270720720721,229.341891891892
"398","SOUTH FERRY","140",439.534684684685,370.979279279279
"399","SPRING ST","638",288.760810810811,422.510810810811
"400","SPRING ST","A33",227.219232972068,111.476793109525
"401","ST LAWRENCE AVE","609",227.141823345084,107.670867606737
"402","STEINWAY ST","G19",612.087719298246,302.351754385965
"403","STERLING ST","242",290.60571386604,95.4795436741089
"404","STILLWELL AVE","D43",509.018803418803,338.075213675214
"405","SUTPHIN BLVD","F04",203.96036036036,68.1887387387387
"406","SUTPHIN BLVD","G06",1115.18738738739,623.017567567568
"407","SUTTER AVE","251",413.618918918919,112.57972972973
"408","SUTTER AVE","L25",212.323076923077,98.7423076923077
"409","TREMONT AVE","D07",450.459649122807,178.59649122807
"410","UNION ST","R32",311.4348687109,165.745684641819
"411","UNION TPK-KEW G","F06",1175.91441441441,560.581981981982
"412","UTICA AVE","A48",671.920175438596,324.229385964912
"413","VAN ALSTON-21ST","G24",40.5536036036036,77.2806306306306
"414","VAN SICLEN AVE","256",179.909526934133,21.5691944756905
"415","VAN SICLEN AVE","A53",154.197291075403,76.7358256506119
"416","VAN SICLEN AVE","J23",140.863675213675,73.082905982906
"417","VAN WYCK BLVD","F05",260.465075401488,62.6556722483353
"418","VERNON/JACKSON","721",698.168899334117,348.147380532707
"419","W 4 ST-WASH SQ","A32",1308.98453608247,1156.36812714777
"420","W 8 ST-AQUARIUM","D42",87.1247863247863,50.6850427350427
"421","WAKEFIELD-241","201",239.298724539757,164.932513219741
"422","WALL ST","230",420.236486486486,1599.78378378378
"423","WALL ST","419",280.533372502938,700.702274285155
"424","WASHINGTON-36 A","R06",332.879279279279,203.222972972973
"425","WESTCHESTER SQ","604",290.598198198198,226.013063063063
"426","WHITEHALL ST","R27",725.089316239316,1231.08632478632
"427","WHITLOCK AVE","612",83.2094594594595,55.9247747747748
"428","WILSON AVE","L20",221.503451845978,121.307652656622
"429","WINTHROP ST","243",253.100925925926,62.5939814814815
"430","WOODHAVEN BLVD","G11",870.435964912281,278.545614035088
"431","WOODHAVEN BLVD","J15",251.60811965812,64.0769230769231
"432","WOODLAWN ROAD","401",371.50990990991,61.4806306306306
"433","WORLD TRADE CTR","E01",274.586752136752,285.90811965812
"434","YORK ST","F18",210.062656678418,236.828028300039
